Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,BUY,1851.18,1881.19,1821.18,1881.18,149.85,0.25,0.00,-3.15,146.70,Tokyo_London_Overlap,NO,2023.01.04 09:15:00,2023.01.09 16:48:40,0.01,12345,M15,EXECUTED,N/A
4,XAUUSD,BUY,1884.38,1914.38,1854.38,1914.38,149.70,0.25,0.00,-2.52,147.18,Sydney_Tokyo_Overlap,NO,2023.01.11 07:45:00,2023.01.13 17:45:27,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1902.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2023.01.18 05:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
7,XAUUSD,BUY,1944.64,1914.62,1914.64,1974.64,-150.35,0.25,0.00,-3.78,-154.13,NewYork,NO,2023.01.25 22:15:00,2023.01.31 08:05:18,0.01,12345,M15,EXECUTED,N/A
6,XAUUSD,BUY,1935.98,1905.98,1905.98,1965.98,-150.15,0.25,0.00,-5.67,-155.82,London,NO,2023.01.20 10:15:00,2023.01.31 10:30:40,0.01,12345,M15,EXECUTED,N/A
10,XAUUSD,BUY,1938.80,1908.79,1908.80,1968.80,-150.75,0.25,0.00,-2.52,-153.27,NewYork,NO,2023.02.01 21:45:00,2023.02.03 15:30:20,0.01,12345,M15,EXECUTED,N/A
11,XAUUSD,SELL,1909.79,1879.78,1939.79,1879.79,150.55,0.25,0.00,0.00,150.55,London,NO,2023.02.03 12:30:00,2023.02.03 16:17:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1889.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.02.09 16:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
14,XAUUSD,SELL,1851.24,1821.23,1881.24,1821.24,150.15,0.25,0.00,-1.38,148.77,NewYork,NO,2023.02.13 19:00:00,2023.02.17 10:02:31,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1822.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.02.28 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1843.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.03.07 12:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
16,XAUUSD,SELL,1828.66,1858.66,1858.66,1798.66,-150.60,0.25,0.00,-4.14,-154.74,NewYork,NO,2023.02.22 21:15:00,2023.03.10 16:41:40,0.01,12345,M15,EXECUTED,N/A
17,XAUUSD,BUY,1832.52,1862.53,1802.52,1862.52,149.75,0.25,0.00,-6.93,142.82,Sydney_Tokyo_Overlap,NO,2023.03.01 07:30:00,2023.03.10 17:24:19,0.01,12345,M15,EXECUTED,N/A
18,XAUUSD,BUY,1836.75,1866.75,1806.75,1866.75,149.75,0.25,0.00,0.00,149.75,London_NewYork_Overlap,NO,2023.03.10 15:00:00,2023.03.10 17:44:41,0.01,12345,M15,EXECUTED,N/A
22,XAUUSD,BUY,1940.83,1970.84,1910.83,1970.83,149.75,0.25,0.00,0.00,149.75,London_NewYork_Overlap,NO,2023.03.17 14:30:00,2023.03.17 19:34:29,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1963.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.03.21 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1968.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,YES,2023.03.27 09:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
24,XAUUSD,BUY,1979.87,1949.87,1949.87,2009.87,-150.25,0.25,0.00,-1.26,-151.51,Asia,NO,2023.03.23 08:15:00,2023.03.27 13:39:05,0.01,12345,M15,EXECUTED,N/A
